# OpenTelemetry Metrics report: .csv, 4 fields: 
# <metric name>, <period start, nanoseconds>, <period end, nanoseconds>, <metric value>
# See CsvMetricsExporter for details.
# 
# NAME, PERIOD_START_NANOS, PERIOD_END_NANOS, VALUE
FlushQueue.tasksExecuted,1708438303316000000,1708438363315000000,60
WriteAction.executionsCount,1708438303316000000,1708438363315000000,0
AWTEventQueue.dispatchTimeTotalNS,1708438303316000000,1708438363315000000,192270366
FlushQueue.queueSizeMax,1708438303316000000,1708438363315000000,0
AWTEventQueue.dispatchTime90PNs,1708438303316000000,1708438363315000000,901119
AWTEventQueue.dispatchTimeMaxNs,1708438303316000000,1708438363315000000,1310719
FlushQueue.executionTimeMaxNs,1708438303316000000,1708438363315000000,126975
FlushQueue.executionTime90PNs,1708438303316000000,1708438363315000000,104959
AWTEventQueue.dispatchTimeAvgNs,1708438303316000000,1708438363315000000,358682.2686567164
FlushQueue.waitingTimeAvgNs,1708438303316000000,1708438363315000000,237614.93333333332
FlushQueue.queueSize90P,1708438303316000000,1708438363315000000,0
FlushQueue.waitingTimeMaxNs,1708438303316000000,1708438363315000000,354303
AWTEventQueue.eventsDispatched,1708438303316000000,1708438363315000000,536
FlushQueue.queueSizeAvg,1708438303316000000,1708438363315000000,0.0
FlushQueue.executionTimeAvgNs,1708438303316000000,1708438363315000000,69041.06666666667
FlushQueue.waitingTime90PNs,1708438303316000000,1708438363315000000,319487
ReadAction.executionsCount,1708438303316000000,1708438363315000000,0
StreamlinedBlobStorage.recordsRelocated,1708438303316000000,1708438363315000000,0
FilePageCache.maxCacheSizeInBytes,1708438303316000000,1708438363315000000,202391552
FilePageCacheLockFree.totalPagesRequestsMs,1708438303316000000,1708438363315000000,0
FilePageCache.uncachedFileAccess,1708438303316000000,1708438363315000000,0
StorageLockContext.competingThreads.90P,1708438303316000000,1708438363315000000,0
StreamlinedBlobStorage.recordsDeleted,1708438303316000000,1708438363315000000,0
FilePageCacheLockFree.housekeeperTimeSpentMs,1708438303316000000,1708438363315000000,67
StreamlinedBlobStorage.totalLiveRecordsCapacityBytes,1708438303316000000,1708438363315000000,0
FilePageCache.pageLoadsAboveSizeThreshold,1708438303316000000,1708438363315000000,0
MappedFileStorage.totalBytesMapped,1708438303316000000,1708438363315000000,98566144
StreamlinedBlobStorage.recordsAllocated,1708438303316000000,1708438363315000000,0
FilePageCacheLockFree.nativeBytesInUse,1708438303316000000,1708438363315000000,16384
DirectByteBufferAllocator.totalSizeOfBuffersCachedInBytes,1708438303316000000,1708438363315000000,0
DirectByteBufferAllocator.hits,1708438303316000000,1708438363315000000,0
FilePageCacheLockFree.totalBytesRequested,1708438303316000000,1708438363315000000,0
FilePageCache.totalPageLoadsUs,1708438303316000000,1708438363315000000,0
FilePageCacheLockFree.totalBytesRead,1708438303316000000,1708438363315000000,0
FilePageCacheLockFree.totalPagesReadMs,1708438303316000000,1708438363315000000,0
FilePageCacheLockFree.totalPagesAllocated,1708438303316000000,1708438363315000000,0
FilePageCacheLockFree.heapBytesInUse,1708438303316000000,1708438363315000000,0
FilePageCacheLockFree.totalHeapBytesAllocated,1708438303316000000,1708438363315000000,0
DirectByteBufferAllocator.disposed,1708438303316000000,1708438363315000000,0
FilePageCacheLockFree.totalHeapBytesReclaimed,1708438303316000000,1708438363315000000,0
FilePageCache.pageLoads,1708438303316000000,1708438363315000000,0
StorageLockContext.competingThreads.avg,1708438303316000000,1708438363315000000,0.0
MappedFileStorage.storages,1708438303316000000,1708438363315000000,6
FilePageCache.disposedBuffers,1708438303316000000,1708438363315000000,0
FilePageCache.pageHits,1708438303316000000,1708438363315000000,0
FilePageCacheLockFree.totalPageAllocationsWaited,1708438303316000000,1708438363315000000,0
FilePageCache.capacityInBytes,1708438303316000000,1708438363315000000,503316478
StreamlinedBlobStorage.totalLiveRecordsPayloadBytes,1708438303316000000,1708438363315000000,0
FilePageCacheLockFree.housekeeperTurnsSkipped,1708438303316000000,1708438363315000000,52323
FilePageCacheLockFree.totalPagesWritten,1708438303316000000,1708438363315000000,0
FilePageCache.totalPageDisposalsUs,1708438303316000000,1708438363315000000,0
FilePageCache.maxRegisteredFiles,1708438303316000000,1708438363315000000,534
FilePageCacheLockFree.totalNativeBytesAllocated,1708438303316000000,1708438363315000000,0
DirectByteBufferAllocator.totalSizeOfBuffersAllocatedInBytes,1708438303316000000,1708438363315000000,202407936
FilePageCacheLockFree.totalBytesWritten,1708438303316000000,1708438363315000000,0
MappedFileStorage.totalPagesMapped,1708438303316000000,1708438363315000000,6
FilePageCacheLockFree.totalPagesRequested,1708438303316000000,1708438363315000000,0
FileChannelInterruptsRetryer.totalRetriedAttempts,1708438303316000000,1708438363315000000,0
DirectByteBufferAllocator.reclaimed,1708438303316000000,1708438363315000000,0
FilePageCacheLockFree.totalClosedStoragesReclaimed,1708438303316000000,1708438363315000000,0
FilePageCacheLockFree.housekeeperTurnsDone,1708438303316000000,1708438363315000000,120
FilePageCacheLockFree.totalNativeBytesReclaimed,1708438303316000000,1708438363315000000,0
FilePageCacheLockFree.totalPagesHandedOver,1708438303316000000,1708438363315000000,0
FilePageCache.pageFastCacheHits,1708438303316000000,1708438363315000000,0
MappedFileStorage.totalTimeSpentOnMappingUs,1708438303316000000,1708438363315000000,1009
StorageLockContext.competingThreads.max,1708438303316000000,1708438363315000000,0
FilePageCacheLockFree.totalPagesReclaimed,1708438303316000000,1708438363315000000,0
DirectByteBufferAllocator.misses,1708438303316000000,1708438363315000000,0
FilePageCacheLockFree.totalPagesWriteMs,1708438303316000000,1708438363315000000,0
FileNameCache.queries,1708438303316000000,1708438363315000000,0
FileNameCache.totalMisses,1708438303316000000,1708438363315000000,0
IndexesFlusher.totalFlushingTimeUs,1708438363315000000,1708438423315000000,128439
IndexesFlusher.totalFlushesRetried,1708438363315000000,1708438423315000000,0
IndexesFlusher.totalFlushes,1708438363315000000,1708438423315000000,60
IndexesFlusher.totalContentionQuotaSpent,1708438363315000000,1708438423315000000,0
